instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt,lowest_energy_iteration,lowest_energy_prob_iteration
tai20_5_1.fsp,1,4,7,465,489.548828125,465.0,1.0,465.0,1.0
tai20_5_1.fsp,1,4,8,465,489.64453125,465.0615234375,0.984375,465.0,1.0
tai20_5_1.fsp,1,4,9,465,489.7734375,465.0341796875,0.99609375,465.0,1.0
tai20_5_1.fsp,1,4,10,465,490.5791015625,465.0087890625,0.9921875,465.0,1.0
tai20_5_1.fsp,1,4,best,465,,465.0,1.0,465.0,1.0
tai20_5_1.fsp,2,4,1,465,481.9423828125,465.009765625,1.0,,
tai20_5_1.fsp,2,4,2,465,483.2763671875,465.1962890625,0.9736328125,465.0,1.0
tai20_5_1.fsp,2,4,3,465,484.2646484375,465.5,0.9296875,465.0,1.0
tai20_5_1.fsp,2,4,4,465,484.5576171875,465.076171875,0.9970703125,465.0,1.0
tai20_5_1.fsp,2,4,5,465,484.8388671875,465.0,0.9990234375,465.0,1.0
tai20_5_1.fsp,2,4,6,465,486.9140625,465.0,0.9990234375,465.0,1.0
tai20_5_1.fsp,2,4,7,465,487.21875,465.1005859375,0.9912109375,465.0,1.0
tai20_5_1.fsp,2,4,8,465,488.25,465.0029296875,0.998046875,465.0,1.0
tai20_5_1.fsp,2,4,9,465,488.8408203125,465.0,1.0,465.0,1.0
tai20_5_1.fsp,2,4,10,465,489.9208984375,465.0,0.9990234375,465.0,1.0
tai20_5_1.fsp,2,4,best,465,,465.009765625,1.0,465.0,1.0
tai20_5_1.fsp,3,4,1,465,480.1484375,465.0,0.9990234375,,
tai20_5_1.fsp,3,4,2,465,484.033203125,465.0029296875,0.9990234375,465.0,0.9990234375
tai20_5_1.fsp,3,4,3,465,484.298828125,465.0,1.0,465.0,0.9990234375
tai20_5_1.fsp,3,4,4,465,484.6484375,465.033203125,0.99609375,465.0,1.0
tai20_5_1.fsp,3,4,5,465,484.98828125,465.013671875,0.9990234375,465.0,1.0
tai20_5_1.fsp,3,4,6,465,486.0849609375,465.029296875,1.0,465.0,1.0
tai20_5_1.fsp,3,4,7,465,489.0576171875,465.0029296875,1.0,465.0,1.0
tai20_5_1.fsp,3,4,8,465,489.4990234375,465.005859375,0.998046875,465.0,1.0
tai20_5_1.fsp,3,4,9,465,489.76171875,465.0,1.0,465.0,1.0
tai20_5_1.fsp,3,4,10,465,489.7783203125,465.087890625,0.9912109375,465.0,1.0
tai20_5_1.fsp,3,4,best,465,,465.0,1.0,465.0,1.0
tai20_5_1.fsp,4,4,1,465,480.0029296875,465.0517578125,0.990234375,,
tai20_5_1.fsp,4,4,2,465,480.875,465.5361328125,0.9013671875,465.0,0.990234375
tai20_5_1.fsp,4,4,3,465,481.068359375,466.328125,0.669921875,465.0,0.990234375
tai20_5_1.fsp,4,4,4,465,482.57421875,465.0,0.9990234375,465.0,0.990234375
tai20_5_1.fsp,4,4,5,465,482.7685546875,465.0,1.0,465.0,0.9990234375
tai20_5_1.fsp,4,4,6,465,485.671875,465.015625,0.994140625,465.0,1.0
tai20_5_1.fsp,4,4,7,465,487.2490234375,465.0,1.0,465.0,1.0
tai20_5_1.fsp,4,4,8,465,488.2900390625,465.0,1.0,465.0,1.0
tai20_5_1.fsp,4,4,9,465,488.3720703125,465.0,0.9990234375,465.0,1.0
tai20_5_1.fsp,4,4,10,465,490.0,465.017578125,0.9951171875,465.0,1.0
tai20_5_1.fsp,4,4,best,465,,465.0,1.0,465.0,1.0
tai20_5_1.fsp,5,4,1,465,476.82421875,465.0,1.0,,
tai20_5_1.fsp,5,4,2,465,481.87109375,465.4990234375,0.873046875,465.0,1.0
tai20_5_1.fsp,5,4,3,465,484.0537109375,465.154296875,0.990234375,465.0,1.0
tai20_5_1.fsp,5,4,4,465,485.0361328125,465.0458984375,0.998046875,465.0,1.0
tai20_5_1.fsp,5,4,5,465,486.87109375,465.7001953125,0.8076171875,465.0,1.0
tai20_5_1.fsp,5,4,6,465,489.6044921875,465.0,1.0,465.0,1.0
tai20_5_1.fsp,5,4,7,465,490.68359375,465.2607421875,0.9794921875,465.0,1.0
tai20_5_1.fsp,5,4,8,465,493.0087890625,465.109375,0.994140625,465.0,1.0
tai20_5_1.fsp,5,4,9,465,493.2861328125,465.0029296875,0.99609375,465.0,1.0
tai20_5_1.fsp,5,4,10,465,493.642578125,474.931640625,0.0078125,465.0,1.0
tai20_5_1.fsp,5,4,best,465,,465.0,1.0,465.0,1.0
tai20_5_2.fsp,1,4,1,332,332.044921875,332.1416015625,0.9931640625,,
tai20_5_2.fsp,1,4,2,332,353.7021484375,333.353515625,0.826171875,332.0,0.9931640625
tai20_5_2.fsp,1,4,3,332,356.4892578125,332.0,1.0,332.0,0.9931640625
tai20_5_2.fsp,1,4,4,332,359.6025390625,332.0087890625,1.0,332.0,1.0
tai20_5_2.fsp,1,4,5,332,362.7529296875,332.0,1.0,332.0,1.0
tai20_5_2.fsp,1,4,6,332,362.9482421875,332.0,0.998046875,332.0,1.0
tai20_5_2.fsp,1,4,7,332,363.03515625,332.541015625,0.9609375,332.0,1.0
tai20_5_2.fsp,1,4,8,332,363.45703125,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,1,4,9,332,371.046875,332.0,1.0,332.0,1.0
tai20_5_2.fsp,1,4,10,332,372.8876953125,332.0,1.0,332.0,1.0
tai20_5_2.fsp,1,4,best,332,,332.0,1.0,332.0,1.0
tai20_5_2.fsp,2,4,1,332,332.10546875,332.0,1.0,,
tai20_5_2.fsp,2,4,2,332,356.8232421875,332.0,1.0,332.0,1.0
tai20_5_2.fsp,2,4,3,332,361.689453125,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,2,4,4,332,362.8740234375,332.0,1.0,332.0,1.0
tai20_5_2.fsp,2,4,5,332,368.7021484375,332.0,1.0,332.0,1.0
tai20_5_2.fsp,2,4,6,332,370.169921875,332.0,1.0,332.0,1.0
tai20_5_2.fsp,2,4,7,332,370.5361328125,332.0087890625,1.0,332.0,1.0
tai20_5_2.fsp,2,4,8,332,371.5029296875,332.0263671875,0.9990234375,332.0,1.0
tai20_5_2.fsp,2,4,9,332,372.09375,332.0263671875,1.0,332.0,1.0
tai20_5_2.fsp,2,4,10,332,372.7880859375,332.0087890625,1.0,332.0,1.0
tai20_5_2.fsp,2,4,best,332,,332.0,1.0,332.0,1.0
tai20_5_2.fsp,3,4,1,332,332.0,332.0400390625,0.998046875,,
tai20_5_2.fsp,3,4,2,332,360.658203125,332.0087890625,1.0,332.0,0.998046875
tai20_5_2.fsp,3,4,3,332,364.5849609375,332.080078125,1.0,332.0,1.0
tai20_5_2.fsp,3,4,4,332,366.3359375,333.8154296875,0.8154296875,332.0,1.0
tai20_5_2.fsp,3,4,5,332,368.3984375,332.0087890625,0.9990234375,332.0,1.0
tai20_5_2.fsp,3,4,6,332,369.8662109375,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,3,4,7,332,370.568359375,332.017578125,0.998046875,332.0,1.0
tai20_5_2.fsp,3,4,8,332,372.017578125,332.0,1.0,332.0,1.0
tai20_5_2.fsp,3,4,9,332,372.80859375,332.017578125,1.0,332.0,1.0
tai20_5_2.fsp,3,4,10,332,373.435546875,332.044921875,1.0,332.0,1.0
tai20_5_2.fsp,3,4,best,332,,332.0087890625,1.0,332.0,1.0
tai20_5_2.fsp,4,4,1,332,332.080078125,332.0,1.0,,
tai20_5_2.fsp,4,4,2,332,353.6845703125,333.18359375,0.876953125,332.0,1.0
tai20_5_2.fsp,4,4,3,332,363.3251953125,332.0,0.9990234375,332.0,1.0
tai20_5_2.fsp,4,4,4,332,366.9931640625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,4,4,5,332,369.6064453125,333.6875,0.7919921875,332.0,1.0
tai20_5_2.fsp,4,4,6,332,370.4140625,332.0,1.0,332.0,1.0
tai20_5_2.fsp,4,4,7,332,371.6611328125,332.0615234375,0.9921875,332.0,1.0
tai20_5_2.fsp,4,4,8,332,371.75,332.0439453125,0.984375,332.0,1.0
tai20_5_2.fsp,4,4,9,332,372.158203125,332.0,1.0,332.0,1.0
