Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,16.075,10.438,9.766,0.856
2,16.518,11.077,10.779,0.444
3,16.581,12.513,12.438,0.008
4,16.623,10.187,10.003,0.588
5,16.865,9.976,9.952,0.781
