Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,16.527,12.244,12.257,0.045
2,16.738,11.815,11.781,0.430
3,17.040,12.621,11.818,0.479
4,17.166,12.213,11.206,0.911
5,17.226,12.161,12.215,0.154
