Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,14.802,12.105,11.359,0.738
2,14.915,12.023,12.127,0.115
3,14.919,12.138,12.066,0.014
4,15.046,12.456,12.492,0.004
5,15.078,12.040,12.013,0.024
