Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,21.468,15.747,13.966,0.853
2,21.640,17.268,16.419,0.201
3,21.895,15.538,13.679,0.866
4,22.082,15.990,15.942,0.400
5,22.189,16.748,13.322,0.954
