Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,17.000,21.173,19.176,0.008
2,20.301,15.404,15.578,0.054
3,20.747,14.583,14.182,0.428
4,20.818,14.671,13.802,0.705
5,21.403,15.139,13.462,0.902
