Attempt,Initial Cost,SPSA Cost,COBYLA Cost,Probability Optimal
1,13.537,10.043,10.063,0.000
2,13.635,9.223,9.229,0.880
3,13.912,9.124,9.124,0.982
4,14.527,9.925,9.885,0.357
5,14.547,10.372,10.454,0.051
